uuid,prefix,prompt
0a5c3c36-98f5-5624-b76b-6ad4d4d71ded,ms-,Edificion cyberpunks  Message: 1 Attachment  
0a1cb5c3-a510-514a-b7b0-bf129e18a169,vc-,twilight zone scene. Humans examining alien brain in desert. 1950s style. Black and white. Film grain.  
0a71e492-5d8a-5423-a85c-d52c8c0a215c,vc-,a Chinese boy sitting near the window inside the airplane and looking out of the window amazed with the view outside  
0a6b52bf-d1f5-52db-b128-c63a63fa6eae,t2vz-,a cute dalmatian dog holding a magic wand -fps 24 -s 7 -m 3 -gs 12  
0a8af024-16b9-52bc-901c-006aed3045aa,vc-,"Exorcise your demons Before they eat you whole, dramatic, cinematic, dark fantasy, 4k --ar 9:16  "
0a4c7d64-3991-5f12-8b7a-6e9fe5e1efb8,t2vz-,"white figure is moving fast, in a crypt,  -camera zoom in -fps 20 -motion 4  "
0a0e57f7-2129-59de-82ad-2bce29971430,pika-,"tierra girando en el centro de la pantalla con los continentes y formas bien definidas con una luz orbitando en &#233;l, hiper realista  "
0a4b0ae0-7575-5c29-94d4-89bf77c78baa,pika-,"Basketball players on the moon, playing a basketball game on the moon, large crowd, slam dunk, many moons, ultra photoreal, galaxy, highly detailed, cinematic, 70mm film, 8k HD -ar 16:9 -gs 48 -motion 4  "
0a0417ad-3ee8-5f1d-a09c-312ed950602f,vc-,"lofi boy studying in his room writing, blinking eyes, sideway view, cat on the table next to him, headsets on listening to music, purple tone, lofi illustration, low lighting, hide hands --ar 16:9  "
00bad95a-7553-5b98-9770-d9eb1a5c8ebe,ms-,"the children decided to give it a try,for kids cartoon show  "
0b275ad1-af45-56f2-bed4-dfa5328443ba,ms-,"The central focus of the design should be a group of marine lions, preferably in their natural habitat, such as the crystal-clear waters of the Gal&#225;pagos. Highlight their beauty and uniqueness.  "
0a8debcc-e035-5cdf-ab26-a79bcf6a0999,t2vz-,tyrannosaurus rex looking for food in the forest -gs 12 -fps 24 -motion 3  
0a447b3f-9a49-53a3-b01d-04a68747f5f4,ms-,"Look, far out in the Pacific Ocean, there are ten islands. Now, come with us to the beach and play in the sand  "
00a876e5-1244-59a9-bc06-4f277e9c44af,ms-,Pyramid of Giza  
0b4e334b-66e0-5555-95f9-a2b354809d9e,vc-,Batman standing in a dark room depressed - ar 9:16 motion 2  
0a569057-8ddb-5539-9338-55054c344877,t2vz-,3d animation video style a teacher wearing hijab go to school by boat with happy smile. -ar 16:9  
0a1f27af-4737-5994-be48-9113c22ef970,pika-,"Black cat standing looking into the lense, background pink smoke, realistic, cinematic, zoom  "
0b9a7221-d2d4-5f78-9506-d6b07a49a55d,vc-,a woman play basketball  
0a233594-f0a6-5a08-9771-47599b91fcdc,ms-,"a old red locomotive that is smoking, from left to right, sc-fi, futuristic landscape, A breathtaking aerial view of a sprawling futuristic cityscape, with towering skyscrapers piercing the sky, sleek hovercars zooming through futuristic highways, and vibrant holographic billboards illuminating the streets below. Octane render, Unreal Engine, by Weta Digital, Cinematic, Photography, DSLR, Nikon D750, Short Exposure, F/2.8, Cool Color Palette, Kodachrome, 32k, Ultra-HD, Super-Resolution, HDR, DCI-P3, Natural Lighting, Flare, Cinematic Lighting, Contre-Jour, Beautiful Lighting, Ray Tracing Global Illumination, Ray Tracing Reflections, Ray Tracing Ambient Occlusion, RTX, CGI, VFX: insanely detailed and intricate, hypermaximalist, elegant, ornate, hyper realistic, super detailed,ar 16:9  "
0ab64cfc-6640-5614-b491-b60213dfffc7,ms-,"Visualize a cozy coffee shop interior with soft, warm lighting.
Show Elizabeth seated at a table by the window, her expression contemplative as she gazes outside.
Capture Daniel at the adjacent table, looking towards Elizabeth with an intrigued smile.
Highlight the steam rising from their coffee cups, creating an inviting atmosphere.All in HD  "
0acbd972-b696-5d64-a589-0be3c04ede12,t2vz-,picture illustration for the book: medieval princesses and poetesses  
0a64622a-f379-5f6d-a7f5-4d8e9d561f37,t2vz-,"Scene 7: Masked Dance  Brief snippets of hands and elegant clothing, showcasing the character dancing with different masked partners.  "
00a00b5f-4313-5ac6-a74a-1c7c7a8de709,vc-,"prompt: In the heart of the Mongol Empire, Genghis Khan, draped in regal attire, stands with an air of authority on a grand palace terrace overlooking a bustling city, a scene that combines a royal portrait and historical illustration, --ar 16:9 --v 5  "
0a3effaa-263d-59fb-a339-3bf96a7b1bfd,vc-,"An earthman is walking on Mars, sunrise, 4K -ar 16:9  "
0a0ce590-1f98-588f-a843-b73537ca39c6,t2vz-,ek ladka chal rha hoga road pe  
0ab9b830-9ee5-5dce-9da3-8fffa9679124,t2vz-,a giant tea pot sitting on a table with the ghost of a woman coming out of the spout - gs 7-close-up - zoom - super8 film - liminal horror - horror - vintage film - motion5 -VHS seed 79987632349876548109  
0a333ad0-6c9a-53e9-a2fb-466df38ee48f,t2vz-,"Sitting on the train at night, looking at the scenery outside the side window, real HDR video, 8k resolution, POV, -gs 24 -ar 9:16 -motion 1 -neg &quot;no one appears&quot;  "
0a4f2654-a67e-54e7-a43d-43dfcb4c3819,pika-,old 1942 sepia film found footage of a star wars stormtrooper in world war ii  
0a2dcbda-8399-5b05-840b-030809a90d07,pika-,aroplane crash in kolkata  
0a01ef2e-1dd7-517a-841f-2a393f054187,vc-,three brothers standing in hell facing a gigantic demon  
0aab90a2-9f3b-54d0-bc4b-3b1d3bd46b61,t2vz-,beautiful scene of 3d geometric liquid shape  
0bd23a2d-43c3-5374-a3e0-bc9b2e452b25,ms-,A large vintage TV in the middle of a tropical mountain. -ar 16:9  
0a393947-6ddd-5dfe-bee5-d642f4180cce,vc-,"A cute red and white cat, a bit chubby, is riding a bicycle on the road.  "
0a1be934-b970-5aeb-a8dc-b4e2b021bca0,t2vz-,"(Yuanxiao (Filled round balls made of glutinous rice-flour for Lantern Festival) Festival lanterns, in the ancient town, at night, bright lights, cheering crowds, traditional clothing, smiling faces, warm colors, telephoto lens, capture, lively and festive, shutter delay effect.) -ar 16:9  "
0a5429c7-d2b8-5296-9704-47e3b87378f7,ms-,gioconda bikin downhill  
0a1c9dcd-ac4e-575f-80f7-ea413d002d79,pika-,john holms face  
0b364f45-620e-5bea-86bd-1abaf07b44f6,ms-,Ben10 fight with Doraemon  
0a2ab830-9ab2-5d5a-9964-bbb1a7274d39,vc-,a snake chasing a rat  
0acb6d3c-77bd-5487-b627-64be42879c08,vc-,"A crazy man holding a small stone in his hand, sitting in the window of a large monastery, and Bedouin men dressed in white around him, with their camels next to them, in the afternoon, talking to them.  "
0a0a5078-b2b1-56da-92ca-a0fb07bc33c0,pika-,bokeh effect cozy lights on black background 3m-ar 16:9 motion 2  
0b84628e-15e3-54fb-a359-1fc714a5ee32,ms-,":design t-shirt graphic, cute cartoon naruto, full white, kids style, white background, Sketch style, playful style, bones, out of the box,sprite sheet ,2d, running,funny  "
0a0c1051-1d85-53f1-9207-e45b465353d0,pika-,"aerial view, an African tribe beating a drum, cinematographic image, sunset -ar 16:9 -motion 2  "
0a0fdac9-03e5-554c-8121-8f0e0cfffbf3,pika-,prompt:a bored man sitting by the tv at home -seed 8128661  
0a878618-4170-54ea-9d8a-8571d91b2997,t2vz-,"a man driving a car in a deserted spooky road at midnight in haunted dark forest, hyper realistic, cinematic color grading, ar 16:9  "
0a1a5148-c869-5d79-8d57-42e6fa79b19a,vc-,calavera mejicana realista y colorida en ambiente oscuro de velas y libros con -motion 4  
0a61ab46-6348-54d5-a815-54e147831888,vc-,"Watch Sammy flutter his hands like a butterfly, 3D Kids story style ultra detailed, 4K, -cinematic -gs23 -motion 4 -fps24 -ar 9:16  "
0b90990c-4676-5cb7-8ce7-dcb30cd8657f,ms-,human Jesus Christ -motion 4 -ar 1:1  
0a811015-694c-595f-b382-ef636dbd1967,t2vz-,little raccoon runs across the field  
0b1ae18e-0830-5d72-a15a-752d9f27ea41,vc-,the fog and the fire
0aa2c007-3c57-5739-81ed-6941fb6a7b15,t2vz-,"in a beautiful swampy bayou, pink neon hearts are falling light the place magically  Message: 1 Attachment  "
0b6bea82-719b-5a1a-8160-527218c165f1,vc-,"a cowboy,(best quality,3),revolver, walking on the desert, sunset, wide-angle, cinematic, UHD, 4k, high sharpness, highly detailed -gs 20 -ar 16:9  "
0a2c9024-ed67-5cc3-b70a-5b1d02ebc3a7,pika-,A black fat guy flying into the sky  
0a03ab38-ee32-56f8-928f-299bc5b18699,pika-,mulher de biquini fio dental em praia paradis&#237;aca  
0acdff8b-b474-556f-bb6a-b807019c8d52,vc-,**1590 Mediterranean Sea. On a galleon boat deck many Europeans stand worried. Wind blows at them. There’s heavy fog in the air. Cinematic. In the style of ridley Scott. Hyper realistic. --ar 16:9  
0b936c86-40f0-53e5-a48c-fc53b1763eb2,ms-,a mountain view from a cozy wooden house in the mountains overlooking a waterfall and lake  
0af64209-51b2-5c8c-8136-6f4b4253dcb1,vc-,"drone flying inside a tunnel, fotorealistic, 8k, details intrincate,  -gs 20  -fps 24 -camera pan left  -motion 4  "
0ab56bf9-ec61-56ff-a283-e361a0def16e,t2vz-,planet earth interconected for sustainable living  
